word,part_of_speech,definition
a’gum,Noun,"a:gu’man ‘an association’. kagum ‘associate, a concomitant’."
a’gus,Noun,current.
a’gus,Verb,"mamagus, minagus ‘flow’. papa-agus-an ‘cause to flow’."
a’gwa-sina’da,Noun,a medicinal liquid used to clean wounds.
agya’p,Noun,cold sore.
agya’p,Verb,[stative] miyagyapan ‘have cold sore’; [stat. distributive] manga-agyap-an.
agyu’q,Adjective/Adverb,sufficient.
agyu’q,Verb,"ma:nagyuq, pa:nagyuq, ma:ka-agyuq."
a’us,Verb,call. ma:maus; awsan ‘to call someone’.
a’lak,Noun,liquor.
ala’kdan,Noun,scorpion.
aladi’n,Noun,a kind of fuel-burning lamp.
ala’q/-walaq,Negative Particle,none.
ala’q/-walaq,Verb,"manga-‘lose things [distributive]’; a:walaq ‘be lost unintentionally’; ma:walaq ‘be lost’; maki-qalaq; makiqala:ala’q ‘go along in denying’; payalaq ‘deny, denounce’."
-ala’l,Noun,"ala’lan ‘election’, pa:manala’l ‘manner of electing’; pipagalalan ‘polling place’."
-ala’l,Verb,man-. mangayalal ‘elect repeatedly’; papa-yalal ‘get someone elected’; ke:ala’l ‘cause election’.
-ala’l,Adjective/Adverb,mayalal ‘be elected’.
alalay,Noun,"ala’le ‘care’. alalayan ‘a prop, support’."
alalay,Verb,"alalayan ‘support, maintain something’; magkala:kalale ‘beware of’."
alalay,Adjective/Adverb,malale ‘careful (e'g. speech)’.
ala’mbre,Noun,wire. ala’mbring suksukan ‘barbed wire’.
ala’mbre,Adjective/Adverb,mayalambre ‘be caught on a wire’.
alanga:lang,Noun,"palate, roof of mouth. see telabanwa."
alas,Numbers,"1. in combination with numbers, as alas singko ‘five o’clock’. 2. bungang ala’s ‘heat-rash’. 3. ala’s ‘ace (in card-playing)’."
-a’lat,Adjective/Adverb,"ma:lat, maalat ‘salty’, dayat-malat ‘ocean’."
alata’q/alata’du,,see qalataq/qalatadu.
albe’,Verb,man-albe ‘watch’. albe-n ‘watch something’; ayalbe.
a’lbug,Noun,flood. maki-a’lbug.
a’lbug,Verb,"mangayalbugan’be ‘flooded regularly’. payalbug, payalbugan, ka-albug."
albuga’n,Noun,place where the sun sets.
albuga’n,Stative,mi-albug-an ‘be caught by nightfall’.
albu’l,Noun,a drying device for fishnets.
albula’ryu,Noun,folk doctor. see (h) ilut.
alburutu,Noun/Verb,"noise, make noise; see qalburutu."
aldo’,Noun,"sun; day. ganing-aldo ‘pre-dawn morning’, kayaldawa ‘birthday; anniversary’."
aldo’,Adjective/Adverb,aldo-aldo ‘daily’.
ali’q,Negative Particle,not.
ali’q,Verb,payaliq; payalyan ‘deny’.
alikabuk,Noun,dust.
alikabuk,Adjective/Adverb,maqalikabuk ‘dusty’; mi:alika-buka’n ‘covered with dust’; makaqa-likabuk [St.] ‘dusty’.
alikabuk,Verb,ma:n-alikabuk ‘raising dust’.
ali’li,Verb,"alila’n ‘change something’, man-alili ‘changing [intrans.]."
ali’li,Noun,ka:lili/kayalili ‘successor’.
alima’sag,Noun,spotted crab.
alimba’waq,Noun,example. pa:manalimbawaq ‘giving of examples’; pipagalimbawan ‘thing used for an example’; pekaqalimbawaq ‘the best example’.
alimba’waq,Verb,man-alimbawaq ‘give an example’; papayalimbawaq ‘make into an example’;
alimpu’yuq,Noun,mole. pekaqalimpuyuq ‘imitation mole’.
alimpu’yuq,Verb,man-alimpuyuq ‘put on a fake mole.
alimpu’yuq,Adjective/Adverb,alimpuyuwan ‘full of moles’.
alipunga’q,Noun,athletes’ foot.
alipunga’q,Adjective/Adverb,maqalipungan ‘suffering from athletes’ foot’; makayalipungaq ‘conducive to a'f.’.
alistu,Noun,"a person who acts skillfully, lively. pangaqalistu ‘acting skillfully’."
alistu,Adjective/Adverb,kaqalistuwan; kasingalistu; pekaqalistu.
aliwaq,Noun/Adjective/Adverb,other. pami-aliwaq ‘difference’; pamanaliwaq ‘process of change’.
aliwaq,Adjective/Adverb,maqaliwa:liwaq ‘all sorts of’; miyayaliwaq ‘disparate’; mi-aliwaq ‘different’.
aliwaq,Verb,man-aliwaq ‘change something’; i-aliwaq ‘change something’.
a’lma,Noun,a female name.
alma’q,Verb,man-almaq ‘rear up’.
almura’nas,Noun,hemorrhoids.
almusal,Noun,breakfast.
almusal,Verb,mag-almusal ‘eat breakfast’.
alpa’q,Noun,"a kind of vegetable, ampalaya."
alta’r,Noun,"altar, house shrine."
alti’,Noun,"thunder; (?lightning?); see duldul. Usually this word is used in curses, as: dipaning alti!"
alulu’d,Noun,1. eaves and drain of a roof; [metaphorically] ‘heavy drinking’. 2. shins.
alulu’d,Adjective/Adverb,meyalulud ‘barked shins’.
aluminyu,Noun,aluminum; cheap money (new coins–as contrasted to the older coins with more silver content).
a’lun,Noun,wave.
a’lun,Adjective/Adverb,"alunqalun ‘roller-coaster motion’; ‘wavy (hair)’, miyayalu ‘be immersed in a wave’."
a’lus,Qualifier,"nearly, almost."
alwa’gi/aluwa’gi,Noun,carpenter.
ama,Adjective/Adverb,pleasing. makayama ‘conducive to pleasure’.
a’mad,Noun,cartilage. [metaphor] a selfish person.
a’mad,Adjective/Adverb,mayamad ‘stringy (meat)’.
ama’nu,Noun,"word, language, speech."
amba’g,Noun,contribution. peka-ambag ‘thing given’.
amba’g,Verb,"[intransitive] man-ambag, pan-ambag, makapanambag. [transitive] i-ambag, ayambag, ayam-bagan, panambaga, ka-ambagan, pa-ambag,"
ambuq,Noun,nickname for Pablo.
ambun,Noun,dew.
ambun,Verb,mamambun ‘be about to rain’.
ambun,Adjective/Adverb,"mayambun ‘overcast, misty’; miyambu ‘covered with dew’."
ambus,Verb,mamambus ‘share (food)’.
-andam,Verb,"borrow; see -dam-. manamdam, mangayamdam, pakiyamdam, makiyamdam, makayamdam, a:yamdam."
amiyam,Noun,"winter, the cold season from October to"
ampi’l,Verb,"man-ampil ‘stack (dishes)’, ampil-an, mangayampil, payampil."
ampi’l,Adjective/Adverb,mayampil ‘stacked’.
ampo’/ampo’n,Coordinating Conjunction,‘and’.
amu’k,Noun,mosquito.
amu’k,Verb,amuk-an ‘be bitten by mosquitoes’.
amu’k,Adjective/Adverb,mayamuk ‘be full of mosquitoes (place)’.
amuri’kut,Noun,a kind of grass or weed with pronged see ds.
ana’k,Noun,"child; (pl.) a:nak. anak-anakan ‘adopted child’; ina:yinak ‘godchildren’; pekayanak ‘substitute for a child’; anak-bastardo, anak-banggera, anak-puta, anak-lele-kwayan, anak-lalam-tete ‘illegitimate child’,"
ana’k,Verb,"mang-anak ‘give birth’, maka-anak ‘capable of giving birth’."
ana’k,Adjective/Adverb,"kasinganak ‘the same age, age mate’."
ana’tis,Noun,"atis, a kind of fruit."
ana’m,Numbers,six.
a:na,Noun,"a girl’s name, Ana. [a:na ‘he said’]."
anda’s,Noun,"serrated edges (of cloth). Simon de Andas, a famous Spaniard who once transferred the seat of Spanish government to Bacolor."
a’ne,Noun,termite.
a’ne,Adjective/Adverb,maqa’ne ‘full of termites’.
a:nidyu,Noun,honeydew melon.
anima’l,Noun,animal; [also used as a curse].
ante/anta,Qualifier,where [with reference to moveable items].
anti,Qualifier,"like, compared to."
a’ntak,Noun,female sexual organs. antak-ne-da-mu [an indecent curse].
a’ntak,Adjective/Adverb,mayantak ‘sexually attractive (female)’
anting-anti’ng,Noun,talisman.
anting-anti’ng,Verb,mag-antinganting ‘use talisman’.
anti,Noun,"anti-ra’bis, anti-te-tanus ‘injections to prevent rabies, tetanus’."
anya’q,Subordinating Conjunction,"later, and then, so. [often combined with uling, as: anyaq, e ko bisang mamangan king kekami uling ing asan mi tuyuq. ‘And so that’s why you don’t want to eat at our house because our main course is dried fish’]."
angka’q/yangka’q,Noun,"gka, a fruit."
a’ngga,Preposition,"up to, until."
a’ngga,Noun,angga ‘boundary’.
a’ngga,Verb,"man-angga ‘reach as far as, journey to’; mipa-angga; mangayang-ga."
anggi’q,Noun,"mist, spray, blowing rain."
anggi’q,Verb,mamanggiq ‘it is raining and blowing’.
a’ngin,Noun,wind.
a’ngin,Verb,"mamangin ‘the wind is blowing’; angin-an, in-angin ‘held in the wind’; payangin, magpayangin, magpakayangin."
a’ngin,Adjective/Adverb,"mayangin ‘windy (season, people)’."
-ango,Adjective/Adverb,meyango ‘derived’.
anya’ya,Verb,invite.
anya’ya,Noun,anyahan ‘invitation’.
-anya’yaq,Verb,mang-anya’yaq ‘get inflamed (of a wound)’.
anye’ho,Noun,rum.
a’pa,Noun,"cone, crust (as, an ice-cream cone)."
apa’,Noun,"bran, especially rice bran."
apa’lit,Noun,"narra, a kind of tree. Apalit, a town in"
apalyaq,Noun,"a vegetable, ampalaya. [metaphorically] a person with a sour disposition."
apa’n,Noun,bait.
apa’n,Verb,apan-an ‘bait something’; man-apan ‘put out bait’; maipanapan ‘bait each other’; pan-apan-an.
a’pat,Numbers,four. pang-apat ‘fourth’; mag-apat-a-banwa ‘spend four
apendisi’tis,Noun,appendicitis.
apendisi’tis,Adjective/Adverb,meqapendisi’tis ‘suffered from appendicitis’.
a’piq,Noun,lime (calcium oxide); used in making cement; and as a component of the betel-chew.
api’q,Noun,"fire, flame, spark."
api’q,Verb,"mamapi’q ‘is sparking, is on fire’."
apla’ya,Noun,beach [probably a recent borrowing; more commonly: bebe-dagat].
apo’n/apu’n,Noun,Japanese; Japan.
apqap,Noun,"a kind of fish, expensive and considered quite a delicacy."
a’pu,Noun,"grandparent, especially grandmother. As a term of address, apu is used for grandfather and grandmother; as a term of reference, usually it is restricted to grandmother, with ingkong being used for grandfather. With saints’ names, as: Apu Lusya ‘Saint Lucy’."
apu’,Noun,grandchild.
apu’luq,Numbers,ten.
-a’pun,,See na:pun ‘yesterday’; gatpanapun ‘afternoon’; patinga’pun ‘the whole day’.
-a’pun,Noun,apu’ ‘supper’.
-a’pun,Verb,mamapun ‘eat supper’; maka-apun ‘able to eat supper’; paya’pun ‘serve supper’.
a’pus,Noun/Verb/Stative,"imitation, similarity. Apus mu ku kaya. ‘You are making me look like him’. pa:yapus; see"
a’ral,Verb,"mag-aral ‘study, go to school’. manig-aral [distributive]; papag-aral ‘be sent to school’."
a’ral,Noun,panig-aral-an; pag-aral-an ‘lesson’.
ara’p,Noun,arap/arapa’n ‘the front’.
ara’p,Adjective/Adverb,maka-arap; miaraparap ‘be situated in front’.
ara’yat,Noun,Mt. Arayat.
a’re,Noun,"hay, usually rice straw."
argabya’du,Adjective/Adverb,aggravated.
a’ri/ya’ri/ya’riq,Adjective/Adverb,finished. mayari ‘finished’; mayayari.
a’ri/ya’ri/ya’riq,Verb,ari-an ‘finish something’; man-ariq ‘(something) happened’.
a’ri/a’riq,Noun,king. atlung-a’ri ‘a constellation’.
ari’na,Noun,"flour, especially casava flour."
arino’la,Noun,chamberpot.
ari:ya/ari’hiya,Noun,things customarily disapproved; statements of customary disapproval.
arkila’,Verb,"hire, rent something; see qarkila."
arni’s,Noun,a self-defense sport.
arsobi’spo,Noun,archbishop; see obispo.
aru’,Exclamation,something like ‘Wow!’.
a’rung,Noun,nose.
a’rung,Verb,"arung-an, inarungan ‘put on airs’."
a’sag,Noun,mantle of a pressure lantern.
asa’n,Noun,"1. fish. 2. viand, i'e., food eaten with rice."
asa’n,Verb,"asan-an, in-asan, as: ung inasan yu? ‘What did you eat with your rice?’."
a’sang,Noun,gills.
asa’q,Verb,asa-an ‘put hope in someone’.
asa’wa,Noun,"spouse; [metaphor] ‘one of a pair, like mortar and pestle’, tala-asawa ‘a married person’."
asa’wa,Verb,"mag-asawa ‘get married’; mang-asawa ‘[old] arrange marriage’, ‘[new] have sexual intercourse’; paki-asawa ‘have someone married to someone else’; pang-asawa-n ‘rape someone’; mi-asawa ‘be married’."
asbu’k,Noun,mouth.
asbu’k,Verb,laban-asbuk ‘argue’.
asik,Verb,man-asik ‘farm’. makipan-asik.
asik,Noun,aski-an ‘rice-fields’. ma:nasik ‘rice farmer’.
asi’n,Noun,"salt; [metaphor] ‘brains, cleverness’."
asi’n,Verb,"asin-an ‘to salt something’. payasin, paki-asi, man-asin, apa-yasin, ayasi ‘unintentionally salted’."
asintado,Adjective/Adverb,"clever, accurate."
a’slag,Noun,"light from a heavenly body; see saslag. aslagan ‘place where the sun rises, east’."
asla’m,Noun,vinegar.
asla’m,Adjective/Adverb,maslam ‘sour’.
asla’m,Verb,aslam-an ‘add vinegar to something’; pan-aslam ‘use something to sour’.
-aslat,Adjective/Adverb,"mayaslat, miyaslat ‘caught in broken floor-board’."
-aspak,Noun,crack.
-aspak,Stative,"mispak, mangaspak, mayayaspak ‘cracked’; apayaspak."
-aspak,Verb,panaspakan.
asta’ka,Noun,stake.
asta’ka,Verb,man-astaka ‘place stakes’; astak-an ‘bound with stakes’.
a’su,Noun,dog.
a’su,Adjective/Adverb,ma-asu ‘many dogs (in a place)’.
asu’k,Noun,smoke.
asu’l,Noun,blue.
asu’l,Adjective/Adverb,ma-asul ‘dark blue’; ma-asulasul ‘light blue’; maka-asul ‘wearing blue clothes’.
a’sung,Noun,mortar.
aswa’ng,Noun,"a frightening spirit creature, half-human, half-bird, vampire-like, said to prey on corpses and unborn children."
aswa’ng,Verb,"aswang-an, inaswangan ‘made victim by an"
aswe’,Noun,1. comb. 2. harrow.
aswe’,Verb,man-aswe ‘use a harrow. aswe-n ‘comb (hair)‘; payaswe ‘have hair combed by another’.
asyag,Noun,stye; see agya’p.
asya’s,Noun,post (e'g. asyas-bale ‘house-post’). peka-asyas ‘mainstay’.
at,Coordinating Conjunction,"‘and’. Sometimes ‘that’, as: kapna mu at bala mu ‘it’s good that you know it’."
ata’b,Noun,tide.
ata’d,Verb,"escort away from home to another place. mamatad, i (h) atad, paki-atad."
ata’d,Noun,pamatad-oras ‘pastime’.
ata’ke,Noun,"attack, heart-attack, stroke."
ata’ke,Adjective/Adverb,me-atake ‘victimized by stroke’.
atbu’,Noun,sugar-cane.
atdu’q,Noun,bile.
a’te,Noun,liver.
ati’/ati’n,,"(Exist.) there is/there are, be."
ati’/ati’n,Noun,kayatina’n ‘wealth’.
ati’/ati’n,Adjective/Adverb,mikayatin ‘be wealthy’.
ati’k,Noun,"money, wealth; see qatik."
atlu’,Numbers,three. pangatlu ‘third’; makatatlu ‘third time’; titlu-titlu ‘three-by-three’. atlung-ari 1. Feast of Three Kings; 2. a constellation.
-atni’,Adjective/Adverb,matni’ ‘loud’. matni-buntuk ‘intelligent’.
aca’ta,Noun,a large bedpan.
a’tcan,Noun,stomach.
a’tcan,Verb,atca ‘hit someone in stomach’.
atca’q,Verb,throw; itca ‘threw’. makayatcaq [ability]; atca- ‘throw something to somebody’; mipayatca; ayatca.
atca’q,Noun,. pa:manatcaq ‘pitching style’; piyatca ‘place something was thrown’.
atca’ra,Noun,pickled salad.
atci’ng,Noun,sneeze.
atci’ng,Verb,mamatcing ‘is sneezing’.
atcu’,,See ati + yu.
atra’s,Verb,"to the back, rear; retrogress. see qatras."
atra’su,Noun,"omission, failure."
atra’su,Adjective/Adverb,atrasa’du ‘late’.
at-saka’/atcaka’,Coordinating Conjunction,‘and also’. at-saka na ‘later’.
a’tsi,Noun,"older sister. Also used as a term of polite address to women, as: Atsing Edad, Atsing Son."
a:tul,Noun,decision.
atu’p/ata’p,Noun,peak of a roof.
atu’p/ata’p,Verb,"manatap, atapan, payatap, panatap, paki-atap, ayatapan ‘to put on a roof’."
a’tut,Noun,flatulence.
a’tut,Verb,atutan ‘affect another with one’s flatulence’.
atye’sa/atce’sa,Noun,a kind of fruit.
au’l,Verb,"awl-an ‘guess something’, c'f. ula-aunus"
au’l,Noun,"portion, share."
a’us,Verb,"call, summon. man-aus; aws-an ‘call someone’."
a’wak,Noun,"a large bird of prey, crow or hawk."
awa’kan,Noun,waist.
-a’wad/-ya’wad,,[tawad?]
-a’wad/-ya’wad,Verb,"ask for; see inyad. manyawad, menyad/menyawad, inyawad/inawad, pakiqawad, pa:yawad, papan-yawad, pa:nyawaran, a:yawad, a:yan-yawad, mipanyawad."
-a’wad/-ya’wad,Noun,"pa:manyawad, piyawaran."
-a’wad/-ya’wad,Adjective/Adverb,"mayawad, meyawad, makayawad."
a’wang,Noun,window.
a’we,Noun,a kind of rattan.
awi’g-awi’g,Adjective/Adverb,"similar in appearance; see qawigqawig. miyayawig, makayawig."
awni’,Pronoun,alternate form for oini.
awta,Pronoun,alternate for oita.
a’yri,Noun,air.
a’yri,Adjective/Adverb,de-ayri ‘works by means of air’.
a’yun,Verb,"agree with, go along with. ayun-an, pa-ayun-an, maki-ayun."
ayu’n,Noun,earthquake.
ayu’n,Verb,mamayu’n ‘earth is quaking’.
a’yup,Noun,bird. ayup-ayu-pan ‘insect’.
a’ywe,Noun,highway.
ba:bagwa’q,Noun,"spider. babagwaq singgagatu, babagwang bale, babagwang tanaman."
ba’baq,Noun,chin.
baba’q,Noun,"low place, underneath; old name of the town now called Lubao."
baba’q,Verb,"baba’q, be:baq ‘lower, put down’; disclose, set forth; i-babaq ‘lower something’; mag-baba ‘go down’; paba-ban ‘have something brought down’; ababaq, apababan."
baba’i,Noun,woman; (pl.) ba:bai. binabai ‘common-law wife’; binabai ‘girlhood’.
baba’i,Verb,mambabai/magbabai ‘pursuing women’.
ba’biq,Noun,pig. babing-diku’t ‘wild pig’.
ba’biq,Adjective/Adverb,bina’biq ‘careless’.
ba’biq,Verb,"mag-binabiq ‘be careless, act like a pig’."
-bablas,Verb,get dressed; see piblas. mi-bablas ‘be dressed’; pi-bablas-an ‘dress someone else’.
ba’bo,Noun/Preposition,"up, upstairs, above."
ba’bo,Verb,"mag-babo, magpababo ‘go up’; papababo ‘put something on top’; makapagpababo ‘able to go on top’."
ba’bo,Adjective/Adverb,"mababo ‘on top, above’; maka-babo ‘leading (in election)’; maba’-bo-pa’liq ‘easily"
ba’buq,Verb,[a children’s word] ‘you might fall’.
ba’kal,Noun,iron.
baka’l,Noun,"packed lunch, food carried along when on a trip."
baka’l,Verb,mag-baka’l ‘carry one’s lunch’; abakalan ‘able to carry something’.
ba’kan/baka’nte,Adjective/Adverb,unoccupied.
baka’s,Noun,"mark, sign, indication."
baka’s,Verb,"babakas, mamakas ‘make marks’; bakasan, bekasan ‘mark something’; pabakas ‘have something marked’."
bakba’k,Noun,"scar, scab, peeling skin."
bakba’k,Verb,"mangabakbak, magpabakbak, mipamakbak ‘peel off something’."
bakba’k,Adjective/Adverb,mabakbak.
ba’kit,Qualifier,"why?; see bat, obat."
ba’klad,Noun,canal in fishponds or sea.
bakle’,Noun,"yoke. makabakle ‘warp, or woof, in weaving’."
bakle’,Verb,"bakle, bikle ‘put something across something else’."
bakle’,Adjective/Adverb,"makabakle ‘out of condition, in a bad"
ba’ko,Noun,mangrove wood (used for firewood); baka’wan mangroves ‘where wood is collected for charcoal’.
bako’,Noun,red heron.
bakse’,Noun,"oar, paddle."
bakse’,Verb,"babakse, mamakse ‘row, paddle’, makapamakse ‘be able to paddle’; makibakse ‘paddle with others’."
ba’kud,Noun,fence.
ba’kud,Verb,"mag-bakud, magpabakud ‘put up a fence’; bakur-an ‘fence something in’."
ba,Subordinating Conjunction,in order to.
baku’lud,Noun,"Bacolor, a town in Pampanga. makabakulud ‘plain, plateau, high level rocky"
-bakwe’,Verb,mag-bakwe’ ‘smoke with burning part of cigarette or cigar inside mouth’; babakwe.
-bakwit,Verb,mag-bakwit ‘evacuate’. (fr. Eng. evacuate).
bakwit,Noun,a kind of bird (small).
ba’kyum,Noun,sonic boom (from Eng. vacuum).
baga’q,Noun,lungs.
ba’gang,Noun,molar tooth.
baga’su,Noun,"pulp, the part of the sugarcane which is discarded after milling; sawdust."
ba’ge,Adjective/Adverb,"matching, compatible."
ba’ge,Verb,bagay-an ‘match something to something else’.
ba’ge,Noun,"thing, object, affair. bage-ba’ge ‘small things, details’."
ba’gin,Noun,vine.
ba’gin,Verb,mag-ba’gin ‘swing on a vine’.
-bagsi’k,Adjective/Adverb,"mabagsik ‘be cruel, annoying’."
-bagsi’k,Verb,babagsik ‘harrass’.
bagu’k,Noun,fermented foods.
bagu’n,Noun,railroad car. bagune’ru ‘conductor’.
bagu’n,Verb,pa:bagun ‘use a railroad car to carry’.
bagu’t,Noun,"draw, a chance or turn."
bagu’t,Verb,"bagut-an ‘withdraw something, pull something out’. begutan, magpabagut, makibagut, mi-pamagut, mangabagut, pamagut."
bagu’t,Adjective/Adverb,mabagut ‘withdrawn’; makabagut.
ba:gyaq,Qualifier,a little bit. ba:gya:bagyaq ‘little-by-little’.
ba’gyu,Noun,"tropical storm, typhoon. pabagyu ‘a showoff’."
ba’gyu,Verb,babagyu ‘a typhoon is blowing’.
bagyu’s,Noun,"feathers, long wing feathers."
bah/abah,Exclamation,"Of course!, That’s how it is!, Well, what else?!"
bain-ta’u,Noun,"bachelor, unmarried male [also used of young male carabao]. mamayintau ‘one who is being a bachelor."
bai’t,Stative/Adjective/Adverb,born. mibai’t ‘born’.
bai’t,Noun,kebaitan ‘birthday’.
bai’t,Verb,mangabait; a:bait.
ba:laq,Noun,"responsibility, warning, matter, concern as: ika ing ba:laq ‘you are in charge, it’s up to you, you decide’. e ba:laq ‘it doesn’t matter."
ba:laq,Verb,"bala-an, babalan, bebalan ‘warn someone about something’; paba:laq ‘give one responsibility’; panibalaq."
ba:laq,Noun,kapama:lan ‘the government’. bala’-[idiomatic expression–inflection highly limited]. bala’ mu ‘you would think; it see ms; apparently’. bala’ ku ‘I think so; it see ms so to
bala’baq,Verb,"bala’ba:n ‘cut something down’. be:la’baq, mamalabaq, pabalabaq, pamalaban."
balaka’ng,Noun,hips.
ba’lag,Noun,trellice.
bala’g,Verb,"magpabala’g ‘drop out’; maka-bala’g ‘fall accidentally’; manga-bala’g ‘dropping repeatedly’; pa:-balag ‘caused to drop’; a:balag ‘dropped’; a:pabala’g ‘had an abortion, miscarriage’."
bala’g,Adjective/Adverb,ma-balag ‘dropped’.
bala’i,Noun,father of a married child as he stands related to the father of his child’s spouse. mibalai ‘be related as balai’.
bala’i,Verb,mamalai ‘arrange a marriage’; abalai ‘be made balai of someone’.
ba’lang,Qualifier,"every, each and every."
ba’lang,Noun,a kind of insect said to be destructive to coconut trees.
balanga’q,Noun,"clay pot, used to cook viands. [also used as a nickname]."
balangka’s,Noun,framework.
balangka’s,Verb,"babalangkas, mamalangkas ‘construct’; balangkasan, belangkas, pa:balangkas, magpabalangkas, paki-balangkas, abalangkas, apabalangkas."
balangka’s,Adjective/Adverb,mabalangkas.
balanggu’t,Noun,a grass or reed which grows near river banks and is used to weave mats and hats.
ba’las,Noun,"bullet, bullets."
bala’s,Noun,sand. Also the name of a barrio of Bacolor.
bala’s,Verb,ma:malasmala’s ‘feels sandy’.
balase’nas,Noun,eggplant. [metaphor] penis.
balase’nas,Verb,mamalase’nas [with the metaphorical sense]
balasu’bas,Noun,nipa wine; a selfish person.
ba’lat,Noun,birthmark.
bala’t,Noun,"skin (human, animal, fruit); bark (tree);"
bala’tong,Noun,mongo bean.
bala’tuq,Noun,‘blow-out’–a party where one who has come on some good fortune pays all the expenses.
bala’tuq,Verb,mamala’tuq.
bala’we,Noun,hawk.
